-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,g0Go000,-------,f1-I000
!n
-------,-------,-------,-------,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,f0-X000,-------,f0-T030
!n
-------,-------,-------,-------,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
-------,g0Wa000,-------,g0Wa000,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
g0Go000,-------,-------,-------,g0Go000
!n
